id,batch_id,diff,hour
1,7695,120406.5,1.1699999999999982
1,7704,106790,1.9199999999999982
1,7713,131854.5,2.669999999999998
1,7722,138330.0,3.419999999999998
1,7731,131993,4.169999999999998
1,7740,135491,4.919999999999998
1,7749,145350,5.669999999999998
1,7758,155880.5,6.419999999999998
1,7767,147573,7.169999999999998
1,7776,163909.5,7.919999999999998
1,7785,163975.5,8.669999999999998
1,7794,168773.5,9.419999999999998
1,7803,202279.0,10.169999999999998
1,7812,180992,10.919999999999998
1,7821,181005.5,11.669999999999998
1,7830,211600.5,12.419999999999998
1,7839,199727,13.169999999999998
1,7848,217826,13.919999999999998
1,7857,216258,14.669999999999998
1,7866,265190,15.419999999999998
1,7875,274740,16.169999999999998
1,7884,281272,16.919999999999998
1,7893,276445,17.669999999999998
1,7902,270087,18.419999999999998
1,7911,294391,19.169999999999998
1,7920,324607,19.919999999999998
1,7929,345928,20.669999999999998
1,7938,365328,21.419999999999998
1,7947,361022,22.169999999999998
1,7956,398257,22.919999999999998
1,7965,426929,23.669999999999998
1,7974,513756,24.419999999999998
1,7983,489724,25.169999999999998
1,7992,461070,25.919999999999998
1,8001,435552,26.669999999999998
1,8010,483624,27.419999999999998
1,8019,499734,28.169999999999998
1,8028,505997,28.919999999999998
1,8037,451902,29.669999999999998
1,8046,534669,30.419999999999998
1,8055,567306,31.169999999999998
1,8064,528620,31.919999999999998
1,8073,503584,32.67
1,8082,530844,33.42
1,8091,630172,34.17
1,8100,538830,34.92
1,8109,542804,35.67
1,8118,519116,36.42
1,8127,491296,37.17
1,8136,559314,37.92
1,8145,577520,38.67
1,8154,472512,39.42
1,8163,514990,40.17
1,8172,502072,40.92
1,8181,491640,41.67
1,8190,451312,42.42
1,8217,201885,44.83666666666666
1,8226,196586,45.58666666666666
1,8235,218757,46.33666666666666
1,8244,208605,47.08666666666666
1,8253,261103,47.83666666666666
1,8262,262206,48.58666666666666
1,8271,80576,49.33666666666666
1,8280,35771,50.08666666666666
1,8289,20394,50.83666666666666
1,8325,41229,53.83666666666666
1,8334,20454,54.58666666666666
1,8343,15401,55.33666666666666
1,8352,87816,56.08666666666666
1,8361,285577,56.83666666666666
1,8379,241276,58.33666666666666
1,8388,256574,59.08666666666666
1,8406,76062,60.58666666666666
1,8415,10212,61.33666666666666
1,8424,51140,62.08666666666666
1,8433,15260,62.83666666666666
1,8451,5063,64.33666666666666
1,8496,256368,68.08666666666666
1,8505,45426,68.83666666666666
1,8514,30874,69.58666666666666
1,8523,20299,70.33666666666666
1,8559,25431,73.33666666666666
1,8568,15354,74.08666666666666
1,8622,40287,78.58666666666666
1,8640,10212,80.08666666666666
1,8649,20205,80.83666666666666
1,8676,75712,83.08666666666666
1,8694,55693,84.58666666666666
1,8703,15236,85.33666666666666
1,8739,15354,88.33666666666666
1,8748,35548,89.08666666666666
1,8757,56124,89.83666666666666
1,8766,30636,90.58666666666666
1,8784,45569,92.08666666666666
1,8793,10117,92.83666666666666
1,8802,46133,93.58666666666666
1,8811,35771,94.33666666666666
1,8829,15121,95.83666666666666
1,8856,65017,98.08666666666666
1,8865,25315,98.83666666666666
1,8874,30494,99.58666666666666
1,8883,10195,100.33666666666666
1,8901,71707,101.83666666666666
1,8910,35771,102.58666666666666
1,8973,30214,107.83666666666666
1,9009,25472,110.83666666666666
1,9018,45709,111.58666666666666
1,9027,10149,112.33666666666666
1,9036,30354,113.08666666666666
1,9045,45848,113.83666666666666
1,9081,5087,116.83666666666666
1,9090,50748,117.58666666666666
1,9117,30309,119.83666666666666
1,9135,70719,121.33666666666666
1,9153,55693,122.83666666666666
1,9162,5033,123.58666666666666
1,9180,10229,125.08666666666666
1,9189,40723,125.83666666666666
1,9198,10103,126.58666666666666
1,9225,40536,128.83666666666667
1,9270,70503,132.58666666666667
1,9279,10165,133.33666666666667
1,9297,10134,134.83666666666667
1,9306,45569,135.58666666666667
1,9351,25160,139.33666666666667
1,9360,35548,140.08666666666667
1,9369,61086,140.83666666666667
1,9396,5063,143.08666666666667
1,9405,30448,143.83666666666667
1,9423,75947,145.33666666666667
1,9432,56385,146.08666666666667
1,9441,20424,146.83666666666667
1,9450,15282,147.58666666666667
1,9459,40474,148.33666666666667
1,9468,20331,149.08666666666667
1,9477,5054,149.83666666666667
1,9486,25160,150.58666666666667
1,9495,30448,151.33666666666667
1,9504,25472,152.08666666666667
1,9531,35333,154.33666666666667
1,9558,35548,156.58666666666667
1,9594,15166,159.58666666666667
1,9639,30543,163.33666666666667
1,9675,20205,166.33666666666667
1,9693,10057,167.83666666666667
1,9711,35441,169.33666666666667
1,9729,70612,170.83666666666667
1,9756,75481,173.08666666666667
1,9765,30494,173.83666666666667
1,9783,15260,175.33666666666667
1,9792,40723,176.08666666666667
1,9882,10182,183.58666666666667
1,9909,76182,185.83666666666667
1,9927,35224,187.33666666666667
2,7695,118652.5,1.1699999999999982
2,7704,93816.5,1.9199999999999982
2,7713,94529.5,2.669999999999998
2,7722,122546.0,3.419999999999998
2,7731,127301,4.169999999999998
2,7740,145065.5,4.919999999999998
2,7749,135029,5.669999999999998
2,7758,142859.5,6.419999999999998
2,7767,157906.5,7.169999999999998
2,7776,155534.5,7.919999999999998
2,7785,159298,8.669999999999998
2,7794,167435.5,9.419999999999998
2,7803,173241.5,10.169999999999998
2,7812,211147.5,10.919999999999998
2,7821,211736,11.669999999999998
2,7830,179687,12.419999999999998
2,7839,202412,13.169999999999998
2,7848,259520,13.919999999999998
2,7857,257383,14.669999999999998
2,7866,258605,15.419999999999998
2,7875,295508,16.169999999999998
2,7884,264251,16.919999999999998
2,7893,329767,17.669999999999998
2,7902,361563,18.419999999999998
2,7911,409438,19.169999999999998
2,7920,391869,19.919999999999998
2,7929,348310,20.669999999999998
2,7938,327333,21.419999999999998
2,7947,379940,22.169999999999998
2,7956,393607,22.919999999999998
2,7965,436353,23.669999999999998
2,7974,426170,24.419999999999998
2,7983,429942,25.169999999999998
2,7992,480000,25.919999999999998
2,8001,569852,26.669999999999998
2,8010,670201,27.419999999999998
2,8019,669791,28.169999999999998
2,8028,702390,28.919999999999998
2,8037,685398,29.669999999999998
2,8046,762594,30.419999999999998
2,8055,717614,31.169999999999998
2,8064,554748,31.919999999999998
2,8073,626374,32.67
2,8082,873696,33.42
2,8091,672366,34.17
2,8100,775294,34.92
2,8109,765524,35.67
2,8118,694650,36.42
2,8127,752610,37.17
2,8136,556132,37.92
2,8145,726368,38.67
2,8154,663124,39.42
2,8163,717972,40.17
2,8172,680740,40.92
2,8181,701880,41.67
2,8190,519708,42.42
2,8217,167234,44.83666666666666
2,8226,225765,45.58666666666666
2,8235,237488,46.33666666666666
2,8244,172841,47.08666666666666
2,8253,261010,47.83666666666666
2,8262,50593,48.58666666666666
2,8271,41038,49.33666666666666
2,8280,102127,50.08666666666666
2,8298,60430,51.58666666666666
2,8316,56124,53.08666666666666
2,8334,40975,54.58666666666666
2,8343,20360,55.33666666666666
2,8370,15473,57.58666666666666
2,8379,15329,58.33666666666666
2,8388,30684,59.08666666666666
2,8433,20807,62.83666666666666
2,8442,51140,63.58666666666666
2,8460,10229,65.08666666666666
2,8478,66636,66.58666666666666
2,8487,5087,67.33666666666666
2,8523,30826,70.33666666666666
2,8532,56471,71.08666666666666
2,8541,56211,71.83666666666666
2,8550,107481,72.58666666666666
2,8586,15166,75.58666666666666
2,8595,15329,76.33666666666666
2,8604,46133,77.08666666666666
2,8613,61178,77.83666666666666
2,8622,40411,78.58666666666666
2,8631,56298,79.33666666666666
2,8649,139723,80.83666666666666
2,8658,65718,81.58666666666666
2,8667,35606,82.33666666666666
2,8685,101187,83.83666666666666
2,8694,55781,84.58666666666666
2,8712,90788,86.08666666666666
2,8739,34582,88.33666666666666
2,8748,136503,89.08666666666666
2,8757,56037,89.83666666666666
2,8766,25549,90.58666666666666
2,8802,35007,93.58666666666666
2,8811,55267,94.33666666666666
2,8829,10039,95.83666666666666
2,8847,85283,97.33666666666666
2,8874,15166,99.58666666666666
2,8892,61653,101.08666666666666
2,8901,10195,101.83666666666666
2,8910,5095,102.58666666666666
2,8928,75019,104.08666666666666
2,8937,5117,104.83666666666666
2,8955,20111,106.33666666666666
2,8964,50826,107.08666666666666
2,8973,30402,107.83666666666666
2,9000,30354,110.08666666666666
2,9027,35387,112.33666666666666
2,9036,40411,113.08666666666666
2,9045,40348,113.83666666666666
2,9063,50593,115.33666666666666
2,9072,25472,116.08666666666666
2,9081,50902,116.83666666666666
2,9090,10117,117.58666666666666
2,9126,61463,120.58666666666666
2,9135,35660,121.33666666666666
2,9144,40597,122.08666666666666
2,9153,5100,122.83666666666666
2,9189,20111,125.83666666666666
2,9198,55352,126.58666666666666
2,9216,5054,128.08666666666667
2,9252,30262,131.08666666666667
2,9288,60430,134.08666666666667
2,9342,96052,138.58666666666667
2,9351,10088,139.33666666666667
2,9360,50204,140.08666666666667
2,9369,55267,140.83666666666667
2,9396,45011,143.08666666666667
2,9423,40723,145.33666666666667
2,9432,45920,146.08666666666667
2,9441,76062,146.83666666666667
2,9459,15096,148.33666666666667
2,9468,25238,149.08666666666667
2,9477,56037,149.83666666666667
2,9504,10057,152.08666666666667
2,9513,55523,152.83666666666667
2,9531,20175,154.33666666666667
2,9540,45709,155.08666666666667
2,9567,5054,157.33666666666667
2,9621,35606,161.83666666666667
2,9630,15260,162.58666666666667
2,9648,45288,164.08666666666667
2,9675,5063,166.33666666666667
2,9693,45709,167.83666666666667
2,9711,10165,169.33666666666667
2,9729,30543,170.83666666666667
2,9738,15260,171.58666666666667
2,9756,20360,173.08666666666667
2,9765,25315,173.83666666666667
2,9783,70719,175.33666666666667
2,9801,80576,176.83666666666667
2,9810,55865,177.58666666666667
2,9819,20454,178.33666666666667
2,9837,111205,179.83666666666667
2,9846,146583,180.58666666666667
2,9855,141141,181.33666666666667
2,9864,86155,182.08666666666667
2,9873,59139,182.83666666666667
2,9882,197553,183.58666666666667
2,9891,145540,184.33666666666667
2,9900,151738,185.08666666666667
2,9909,109100,185.83666666666667
2,9918,127815,186.58666666666667
2,9927,109233,187.33666666666667
2,9936,120879,188.08666666666667
2,9945,203328,188.83666666666667
2,9954,48012,189.58666666666667
